ID,LOCATION,CITY,COUNTRY,State
0,"BTM Layout, Bengaluru - KSPCB",Bengaluru,IN,Karnataka
1,"BWSSB Kadabesanahalli, Bengaluru - KSPCB",Bengaluru,IN,Karnataka
2,BWSSB Kadabesanahalli,Bengaluru,IN,Karnataka
3,City Railway Station - KSPCB,Bengaluru,IN,Karnataka
4,SaneguravaHalli - KSPCB,Bengaluru,IN,Karnataka
5,IIT,Chennai,IN,Tamil Nadu
6,Alandur Bus Depot,Chennai,IN,Tamil Nadu
7,"Peenya, Bengaluru - KSPCB",Bengaluru,IN,Telangana
8,Sanathnagar - Hyderabad - TSPCB,Hyderabad,IN,Telangana
9,AAQMS Karve Road Pune,Pune,IN,Maharashtra
10,Maharashtra Pollution Control Board Bandra,Mumbai,IN,Maharashtra
11,Navi Mumbai Municipal Corporation Airoli,Navi Mumbai,IN,Maharashtra
12,Chandrapur,Chandrapur,IN,Maharashtra
13,Victoria Memorial - WBPCB,Kolkata,IN,West Bengal
14,Victoria Memorial - WBSPCB,Kolkata,IN,West Bengal
15,"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,IN,West Bengal
16,RBU - WBSPCB,Kolkata,IN,West Bengal
17,Collectorate - Gaya - BSPCB,Gaya,IN,Bihar
18,Ardhali Bazar,Varanasi,IN,Uttar Pradesh
19,IGSC Planetarium Complex - Patna - BSPCB,Patna,IN,Punjab
20,Collectorate - Muzaffarpur - BSPCB,Muzaffarpur,IN,Bihar
21,Collectorate Jodhpur - RSPCB,Jodhpur,IN,Rajasthan
22,Nehru Nagar,Kanpur,IN,Uttar Pradesh
23,"Lalbagh, DN Park",Lucknow,IN,Uttar Pradesh
24,Central School,Lucknow,IN,Uttar Pradesh
25,VK Industrial Area Jaipur - RSPCB,Jaipur,IN,Rajasthan
26,"Sector16A, Faridabad - HSPCB",Faridabad,IN,Haryana
27,Vikas Sadan Gurgaon - HSPCB,Gurgaon,IN,Haryana
28,"MD University, Rohtak - HSPCB",Rohtak,IN,Haryana
29,"Udyogamandal, Eloor - Kerala PCB","Kerala State Pollution Control Board
ESIC Hospital",IN,Kerala
30,"SIDCO Kurichi, Coimbatore - TNPCB",Coimbatore,IN,Tamil Nadu
31,"Palayam, Kozhikode - Kerala PCB",Kozhikode,IN,Kerala
32,"Manali Village, Chennai - TNPCB",Government School,IN,Tamil Nadu
33,"Urban, Chamarajanagar - KSPCB",Chamarajanagar,IN,Karnataka
34,"Thavakkara, Kannur - Kerala PCB",Kannur,IN,Punjab
35,"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,IN,Karnataka
36,"Vijay Nagar, Ramanagara - KSPCB",Ramanagara,IN,Karnataka
37,"Alandur Bus Depot, Chennai - CPCB",MKN Rd,IN,Tamil Nadu
38,"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,Karnataka
39,"Silk Board, Bengaluru - KSPCB",Silkboard Junction 323,IN,Karnataka
40,"Jayanagar 5th Block, Bengaluru - KSPCB",Shalini Playground 5th Block,IN,Karnataka
41,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,IN,Karnataka
42,"Hombegowda Nagar, Bengaluru - KSPCB",Rajiv Gandhi Institute of Chest Diseases,IN,Karnataka
43,"Bapuji Nagar, Bengaluru - KSPCB",Mysore Rd,IN,Karnataka
44,"City Railway Station, Bengaluru - KSPCB",Bengaluru,IN,Karnataka
45,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,IN,Karnataka
46,"Velachery Res. Area, Chennai - CPCB",Sardar Patel Road,IN,Tamil Nadu
47,"Peenya, Bengaluru - CPCB",Bengaluru,IN,Karnataka
48,"Hebbal, Bengaluru - KSPCB",Opp.: CBI Office,IN,Karnataka
49,"Manali, Chennai - CPCB",Chennai,IN,Tamil Nadu
50,"Kalyana Nagara, Chikkamagaluru - KSPCB",Chikkamagaluru,IN,Karnataka
51,"Chikkaballapur Rural, Chikkaballapur - KSPCB",Government PU college,IN,Karnataka
52,"Tirumala, Tirupati - APPCB",Near GNC Toll Gate,IN,Andhra Pradesh
53,"Deshpande Nagar, Hubballi - KSPCB",Hubballi,IN,Karnataka
54,"Vidayagiri, Bagalkot - KSPCB",Bagalkot,IN,Karnataka
55,"PWD Grounds, Vijayawada - APPCB",MUNICIPAL GUEST HOUSE COMPOUND,IN,Andhra Pradesh
56,"Secretariat, Amaravati - APPCB",CAAQM Station,IN,Andhra Pradesh
57,"Collector Office, Yadgir - KSPCB",Yadgir,IN,Karnataka
58,"Ibrahimpur, Vijayapura - KSPCB",Vijayapura,IN,Karnataka
59,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Sri Venkateswara Anam Kala Kendram,IN,Andhra Pradesh
60,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Kalaburagi,IN,Karnataka
61,"Zoo Park, Hyderabad - TSPCB",Hyderabad,IN,Telangana
62,"ICRISAT Patancheru, Hyderabad - TSPCB",Patancheru,IN,Telangana
63,"Sanathnagar, Hyderabad - TSPCB",Hyderabad,IN,Telangana
64,"Central University, Hyderabad - TSPCB",Administrative Block,IN,Telangana
65,"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,IN,Telangana
66,"Bollaram Industrial Area, Hyderabad - TSPCB",CAAQMS,IN,Telangana
67,"Solapur, Solapur - MPCB",Solapur,IN,Madhya Pradesh
68,"GVM Corporation, Visakhapatnam - APPCB",GVMC Building,IN,Andhra Pradesh
69,"Karve Road, Pune - MPCB",Pune,IN,Maharashtra
70,"Colaba, Mumbai - MPCB",MCGM,IN,Maharashtra
71,"Worli, Mumbai - MPCB",Mumbai,IN,Maharashtra
72,"Nerul, Navi Mumbai - MPCB",CAAQMS-MPCB,IN,Maharashtra
73,"Sion, Mumbai - MPCB",K J Somaiya Hospital,IN,Maharashtra
74,"Bandra, Mumbai - MPCB",Mumbai,IN,Maharashtra
75,"Kurla, Mumbai - MPCB",Kurla,IN,Maharashtra
76,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",CAAQMS-Maharashtra Pollution Control Board,IN,Maharashtra
77,"Vile Parle West, Mumbai - MPCB",CAAQMS- Maharashtra Pollution Control Board,IN,Maharashtra
78,"Mahape, Navi Mumbai - MPCB",Maharashtra Pollution Control Board,IN,Maharashtra
79,"Powai, Mumbai - MPCB",Mumbai,IN,Maharashtra
80,"Airoli, Navi Mumbai - MPCB",Navi Mumbai,IN,Maharashtra
81,"Pimpleshwar Mandir, Thane - MPCB",Tiwani Chawl,IN,Maharashtra
82,"Borivali East, Mumbai - MPCB",Maharashtra Pollution Control Board,IN,Maharashtra
83,"Khadakpada, Kalyan - MPCB",Kalyan,IN,Maharashtra
84,"Vasai West, Mumbai - MPCB",CAAQMS MPCB,IN,Maharashtra
85,"Chandrapur, Chandrapur - MPCB",Chandrapur,IN,Maharashtra
86,"More Chowk Waluj, Aurangabad - MPCB",Aurangabad,IN,Maharashtra
87,"MIDC Khutala, Chandrapur - MPCB","
Khutala",IN,Maharashtra
88,"Gangapur Road, Nashik - MPCB",Gangapur Road,IN,Maharashtra
89,"Phase-1 GIDC, Vapi - GPCB",Center of Excellence (WTP side garden,IN,Gujarat
90,"Talcher Coalfields,Talcher - OSPCB","OSPCB CAAQMS-1
Mahanadi Coal fields Limited
Near Senior transit camp
Dera ",IN,Odisha
91,"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,IN,Madhya Pradesh
92,"GIDC, Ankleshwar - GPCB",Bulding Of Ankleshwar Industries Association,IN,Gujarat
93,"GM Office, Brajrajnagar - OSPCB",Mahanadi Coal fields  Limited,IN,Odisha
94,"Haldia, Haldia - WBPCB",Haldia,IN,West Bengal
95,"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,IN,Gujarat
96,"Chhoti Gwaltoli, Indore - MPPCB",Indore,IN,Madhya Pradesh
97,"Jadavpur, Kolkata - WBPCB",Indian Association for the Cultivation Of Science,IN,West Bengal
98,"Rabindra Sarobar, Kolkata - WBPCB",Kolkata,IN,West Bengal
99,"Ballygunge, Kolkata - WBPCB",Kolkata,IN,West Bengal
100,"Victoria, Kolkata - WBPCB",Kolkata,IN,West Bengal
101,"Fort William, Kolkata - WBPCB",WEST BENGAL POLLUTION CONTROL BOARD,IN,West Bengal
102,"Padmapukur, Howrah - WBPCB",Howrah,IN,West Bengal
103,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,West Bengal
104,"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,IN,West Bengal
105,"Ghusuri, Howrah - WBPCB",Howrah,IN,West Bengal
106,"Sector-2 Industrial Area, Pithampur - MPPCB",Plot no.- 57,IN,West Bengal
107,"Belur Math, Howrah - WBPCB",Howrah,IN,West Bengal
108,"Bhopal Chauraha, Dewas - MPPCB",Govt. K.P. College,IN,West Bengal
109,"Phase-4 GIDC, Vatva - GPCB",Vatva,IN,Gujarat
110,"Maninagar, Ahmedabad - GPCB",Ahmedabad,IN,Gujarat
111,"Sector-D Industrial Area, Mandideep - MPPCB","Eicher Tractor (TMTL)
Plot No. 1",IN,Madhya Pradesh
112,"Marhatal, Jabalpur - MPPCB",Jabalpur,IN,Madhya Pradesh
113,"Mahakaleshwar Temple, Ujjain - MPPCB",Ujjain,IN,Madhya Pradesh
114,"Sector-10, Gandhinagar - GPCB",Near Main Gate Number 7,IN,Gujarat
115,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,Madhya Pradesh
116,"Shasthri Nagar, Ratlam - IPCA Lab",S.E. POLICE CONTROL ROOM,IN,Madhya Pradesh
117,"Gole Bazar, Katni - MPPCB",Katni,IN,Madhya Pradesh
118,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",Durgapur,IN,West Bengal
119,"Asansol Court Area, Asansol - WBPCB",Asansol,IN,West Bengal
120,"Tata Stadium, Jorapokhar - JSPCB",Jorapokhar,IN,Jharkhand
121,"Sikulpuikawn, Aizawl - Mizoram PCB",Aizawl,IN,Mizoram
122,"Shrivastav Colony, Damoh - MPPCB",Collectorate Campus,IN,Madhya Pradesh
123,"Deen Dayal Nagar, Sagar - MPPCB",Sagar,IN,Madhya Pradesh
124,"Vindhyachal STPS, Singrauli - MPPCB",Singrauli,IN,Madhya Pradesh
125,"Sahilara, Maihar - KJS Cements",Maihar,IN,Madhya Pradesh
126,"Bandhavgar Colony, Satna - Birla Cement",Birla Colony Campus,IN,Madhya Pradesh
127,"Ashok Nagar, Udaipur - RSPCB",Udaipur,IN,Rajasthan
128,"SFTI Kusdihra, Gaya - BSPCB",Gaya,IN,Bihar
129,"Collectorate, Gaya - BSPCB",Gaya,IN,Bihar
130,"Shrinath Puram, Kota - RSPCB",Sector E,IN,Rajasthan
131,"Ardhali Bazar, Varanasi - UPPCB",Ordali Bazar,IN,Uttar Pradesh
132,"Lumpyngngad, Shillong - Meghalaya PCB",Shillong,IN,Meghalaya
133,"DRM Office Danapur, Patna - BSPCB",Patna,IN,Bihar
134,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,Bihar
135,"IGSC Planetarium Complex, Patna - BSPCB",Patna,IN,Bihar
136,"Samanpura, Patna - BSPCB",Patna,IN,Bihar
137,"Rajbansi Nagar, Patna - BSPCB",Patna,IN,Bihar
138,"Muradpur, Patna - BSPCB",Patna,IN,Bihar
139,"Industrial Area, Hajipur - BSPCB",Hajipur,IN,Bihar
140,"Indira Colony Vistar, Pali - RSPCB",Indira Colony Vistar,IN,Rajasthan
141,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,IN,Bihar
142,"Railway Colony, Guwahati - APCB",POLLUTION CONTROL BOARD,IN,Andhra Pradesh
143,"City Center, Gwalior - MPPCB",Gwalior,IN,Madhya Pradesh
144,"Phool Bagh, Gwalior - Mondelez Ind. Food",Gwalior,IN,Madhya Pradesh
145,"Collectorate, Jodhpur - RSPCB",Jodhpur,IN,Rajasthan
146,"Nehru Nagar, Kanpur - UPPCB",Kanpur,IN,Uttar Pradesh
147,"Civil Lines,  Ajmer - RSPCB",Ajmer,IN,Rajasthan
148,"Ward-32 Bapupara, Siliguri - WBPCB",Siliguri,IN,West Bengal
149,"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,IN,Uttar Pradesh
150,"Lalbagh, Lucknow - CPCB",Lucknow,IN,Uttar Pradesh
151,"Gomti Nagar, Lucknow - UPPCB",Lucknow,IN,Uttar Pradesh
152,"Nishant Ganj, Lucknow - UPPCB",Lucknow,IN,Uttar Pradesh
153,"Central School, Lucknow - CPCB",Sector 9,IN,Uttar Pradesh
154,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,IN,Rajasthan
155,"Police Commissionerate, Jaipur - RSPCB",Jaipur,IN,Rajasthan
156,"Shastri Nagar, Jaipur - RSPCB",Jaipur,IN,Rajasthan
157,"Sanjay Palace, Agra - UPPCB",Agra,IN,Uttar Pradesh
158,"Moti Doongri, Alwar - RSPCB",Alwar - Jaipur Rd,IN,Rajasthan
159,"General Hospital, Mandikhera - HSPCB",Al Afiya General Hospital,IN,Haryana
160,"Shastri Nagar, Narnaul - HSPCB",Mini Secretariat,IN,Haryana
161,"Shyam Nagar, Palwal - HSPCB",Palwal,IN,Haryana
162,"RIICO Ind. Area III, Bhiwadi - RSPCB",Phase-lll,IN,Rajasthan
163,"Municipal Corporation Office, Dharuhera -  HSPCB",The rooftop of Municipality Building,IN,Haryana
164,"Nathu Colony, Ballabgarh - HSPCB",BDPO Office,IN,Haryana
165,"Sector-2 IMT, Manesar - HSPCB",Auditorium Hall,IN,Haryana
166,"Sector 11, Faridabad - HSPCB",Faridabad,IN,Haryana
167,"New Industrial Town, Faridabad - HSPCB",Faridabad,IN,Haryana
168,"Yamunapuram, Bulandshahr - UPPCB",F-5,IN,Uttar Pradesh
169,"Sector- 16A, Faridabad - HSPCB",Faridabad,IN,Haryana
170,"Sector- 16A, Faridabad, Haryana - HSPCB",Faridabad,IN,Haryana
171,"NISE Gwal Pahari, Gurugram - IMD",Gurugram,IN,Haryana
172,"Sector-51, Gurugram - HSPCB",Gurugram,IN,Haryana
173,"Teri Gram, Gurugram - HSPCB",Gurugram,IN,Haryana
174,"Sector 30, Faridabad - HSPCB",Faridabad,IN,Haryana
175,"Vikas Sadan, Gurugram - HSPCB",Gurugram,IN,Haryana
176,"Knowledge Park - III, Greater Noida - UPPCB",Gate No.3,IN,Uttar Pradesh
177,"Sector - 125, Noida - UPPCB",Noida,IN,Uttar Pradesh
